order_number;line_number;date;customer;country;product;qty;unit_price
100557;3;26.02.2021;AW00029614;poland;FR-R72R-52;1;356,898
100557;4;26.02.2021;AW00029614;poland;CA-1098;2;5,1865
100557;5;26.02.2021;AW00029614;poland;BK-R50R-48;3;419,4589
100557;6;26.02.2021;AW00029614;poland;BK-R50R-52;5;419,4589
100557;7;26.02.2021;AW00029614;poland;BK-R68R-44;7;874,794
100557;8;26.02.2021;AW00029614;poland;BK-R68R-60;2;874,794
100557;9;26.02.2021;AW00029614;poland;HL-U509;3;20,1865
100557;10;26.02.2021;AW00029614;poland;HL-U509-R;2;20,1865
100557;11;26.02.2021;AW00029614;poland;LJ-0192-M;2;28,8404
100557;12;26.02.2021;AW00029614;poland;FR-R38B-58;5;178,5808
100557;13;26.02.2021;AW00029614;poland;BK-R50B-60;4;419,4589
100557;14;26.02.2021;AW00029614;poland;FR-R38R-60;4;183,9382
100557;15;26.02.2021;AW00029614;poland;BK-R50R-44;8;419,4589
100557;16;26.02.2021;AW00029614;poland;FR-R38B-52;2;178,5808
100557;17;26.02.2021;AW00029614;poland;BK-R50R-60;6;419,4589
100557;18;26.02.2021;AW00029614;poland;BK-R50B-48;2;419,4589
100557;19;26.02.2021;AW00029614;poland;FR-R38R-62;1;183,9382
100557;20;26.02.2021;AW00029614;poland;BK-R93R-56;5;2146,962
100557;21;26.02.2021;AW00029614;poland;BK-R50R-62;9;419,4589
100557;22;26.02.2021;AW00029614;poland;FR-R72R-48;2;356,898
100557;23;26.02.2021;AW00029614;poland;LJ-0192-X;1;28,8404
100557;24;26.02.2021;AW00029614;poland;BK-R50B-52;13;405,477
100557;25;26.02.2021;AW00029614;poland;FR-R92R-44;1;758,0759
100557;26;26.02.2021;AW00029614;poland;BK-R50B-58;9;419,4589
100557;27;26.02.2021;AW00029614;poland;BK-R68R-52;9;874,794
100557;28;26.02.2021;AW00029614;poland;FR-R38R-48;4;183,9382
100557;29;26.02.2021;AW00029614;poland;BK-R50B-44;2;419,4589
100558;1;26.02.2021;AW00029566;poland;BK-M82S-42;2;2039,994
100558;2;26.02.2021;AW00029566;poland;SO-B909-M;8;5,7
100558;3;26.02.2021;AW00029566;poland;BK-M82S-44;1;2039,994
100558;4;26.02.2021;AW00029566;poland;BK-M82B-44;1;2024,994
100558;5;26.02.2021;AW00029566;poland;BK-M82B-38;1;2024,994
100558;6;26.02.2021;AW00029566;poland;SO-B909-L;2;5,7
100559;1;26.02.2021;AW00029682;poland;BK-R50R-60;1;419,4589
100559;2;26.02.2021;AW00029682;poland;BK-R68R-52;2;874,794
100560;1;26.02.2021;AW00029747;poland;FR-M94S-42;2;722,5949
100560;2;26.02.2021;AW00029747;poland;FR-M94B-44;2;809,76
100561;1;26.02.2021;AW00029890;poland;BK-R93R-56;1;2146,962
100561;2;26.02.2021;AW00029890;poland;FR-R38R-62;1;183,9382
100561;3;26.02.2021;AW00029890;poland;FR-R38R-48;3;183,9382
100562;1;26.02.2021;AW00029973;poland;BK-R68R-52;1;874,794
100562;2;26.02.2021;AW00029973;poland;BK-R50R-44;3;419,4589
100562;3;26.02.2021;AW00029973;poland;BK-R50R-62;1;419,4589
100562;4;26.02.2021;AW00029973;poland;BK-R50R-48;1;419,4589
100562;5;26.02.2021;AW00029973;poland;BK-R50B-52;1;419,4589
100563;1;26.02.2021;AW00030067;poland;BK-M82B-42;2;2024,994
100563;2;26.02.2021;AW00030067;poland;BK-M82B-48;2;2024,994
100563;3;26.02.2021;AW00030067;poland;BK-M82S-48;2;2039,994
100563;4;26.02.2021;AW00030067;poland;FR-M94B-42;1;714,7043
100563;5;26.02.2021;AW00030067;poland;FR-M94S-52;2;818,7
100563;6;26.02.2021;AW00030067;poland;FR-M94S-38;1;722,5949
100563;7;26.02.2021;AW00030067;poland;BK-M82S-38;2;2039,994
100563;8;26.02.2021;AW00030067;poland;BK-M82S-44;4;2039,994
100563;9;26.02.2021;AW00030067;poland;SO-B909-M;6;5,7
100563;10;26.02.2021;AW00030067;poland;BK-M82B-38;2;2024,994
100564;1;26.02.2021;AW00029844;poland;LJ-0192-L;2;28,8404
100564;2;26.02.2021;AW00029844;poland;BK-R50B-62;1;419,4589
100564;3;26.02.2021;AW00029844;poland;BK-R50B-44;2;419,4589
100564;4;26.02.2021;AW00029844;poland;BK-R93R-56;3;2146,962
100564;5;26.02.2021;AW00029844;poland;BK-R50B-60;3;419,4589
100564;6;26.02.2021;AW00029844;poland;BK-R50R-44;1;419,4589
100564;7;26.02.2021;AW00029844;poland;FR-R38R-44;2;183,9382
100564;8;26.02.2021;AW00029844;poland;BK-R68R-60;1;874,794
100564;9;26.02.2021;AW00029844;poland;LJ-0192-X;1;28,8404
100564;10;26.02.2021;AW00029844;poland;BK-R68R-44;1;874,794
100564;11;26.02.2021;AW00029844;poland;BK-R50R-52;4;419,4589
100564;12;26.02.2021;AW00029844;poland;BK-R68R-58;3;874,794
100564;13;26.02.2021;AW00029844;poland;BK-R50B-48;1;419,4589
100564;14;26.02.2021;AW00029844;poland;BK-R50R-60;2;419,4589
100564;15;26.02.2021;AW00029844;poland;BK-R68R-48;1;874,794
100564;16;26.02.2021;AW00029844;poland;BK-R50R-62;1;419,4589
100564;17;26.02.2021;AW00029844;poland;BK-R50B-58;1;419,4589
100564;18;26.02.2021;AW00029844;poland;BK-R93R-48;3;2146,962
100564;19;26.02.2021;AW00029844;poland;FR-R38B-52;2;178,5808
100564;20;26.02.2021;AW00029844;poland;BK-R50B-52;2;419,4589
100564;21;26.02.2021;AW00029844;poland;LJ-0192-M;3;28,8404
100564;22;26.02.2021;AW00029844;poland;CA-1098;1;5,1865
100564;23;26.02.2021;AW00029844;poland;HL-U509;2;20,1865
100564;24;26.02.2021;AW00029844;poland;HL-U509-R;3;20,1865
100565;1;26.02.2021;AW00029596;poland;BK-R50R-60;4;419,4589
100565;2;26.02.2021;AW00029596;poland;BK-R50R-48;3;419,4589
100565;3;26.02.2021;AW00029596;poland;BK-R68R-58;1;874,794
100565;4;26.02.2021;AW00029596;poland;BK-R50R-44;3;419,4589
100565;5;26.02.2021;AW00029596;poland;BK-R68R-52;3;874,794
100565;6;26.02.2021;AW00029596;poland;BK-R50B-52;4;419,4589
100565;7;26.02.2021;AW00029596;poland;BK-R50B-58;4;419,4589
100565;8;26.02.2021;AW00029596;poland;CA-1098;3;5,1865
100565;9;26.02.2021;AW00029596;poland;LJ-0192-L;8;28,8404
100566;1;26.02.2021;AW00029827;poland;BK-R68R-58;3;874,794
100566;2;26.02.2021;AW00029827;poland;HL-U509;1;20,1865
100566;3;26.02.2021;AW00029827;poland;HL-U509-B;5;20,1865
100566;4;26.02.2021;AW00029827;poland;CA-1098;2;5,1865
100566;5;26.02.2021;AW00029827;poland;LJ-0192-M;2;28,8404
100566;6;26.02.2021;AW00029827;poland;BK-R93R-56;2;2146,962
100566;7;26.02.2021;AW00029827;poland;BK-R50B-62;4;419,4589
100566;8;26.02.2021;AW00029827;poland;BK-R68R-48;1;874,794
100566;9;26.02.2021;AW00029827;poland;FR-R38R-60;1;183,9382
100566;10;26.02.2021;AW00029827;poland;BK-R50B-52;1;419,4589
100566;11;26.02.2021;AW00029827;poland;BK-R50R-60;1;419,4589
100566;12;26.02.2021;AW00029827;poland;LJ-0192-X;1;28,8404
100566;13;26.02.2021;AW00029827;poland;BK-R50B-44;2;419,4589
100566;14;26.02.2021;AW00029827;poland;BK-R93R-52;2;2146,962
100566;15;26.02.2021;AW00029827;poland;BK-R93R-44;3;2146,962
100566;16;26.02.2021;AW00029827;poland;BK-R50R-58;1;419,4589
100566;17;26.02.2021;AW00029827;poland;BK-R68R-44;3;874,794
100566;18;26.02.2021;AW00029827;poland;BK-R93R-62;3;2146,962
100566;19;26.02.2021;AW00029827;poland;HL-U509-R;1;20,1865
100566;20;26.02.2021;AW00029827;poland;FR-R38R-44;2;183,9382
100566;21;26.02.2021;AW00029827;poland;BK-R50R-48;2;419,4589
100566;22;26.02.2021;AW00029827;poland;BK-R50B-58;1;419,4589
100566;23;26.02.2021;AW00029827;poland;BK-R50R-52;1;419,4589
100566;24;26.02.2021;AW00029827;poland;BK-R50B-48;3;419,4589
100566;25;26.02.2021;AW00029827;poland;LJ-0192-L;1;28,8404
100567;1;26.02.2021;AW00029811;poland;BK-M82B-42;2;2024,994
100567;2;26.02.2021;AW00029811;poland;BK-M82B-44;2;2024,994
100567;3;26.02.2021;AW00029811;poland;LJ-0192-L;2;28,8404
100567;4;26.02.2021;AW00029811;poland;SO-B909-L;2;5,7
100567;5;26.02.2021;AW00029811;poland;BK-M82S-44;4;2039,994
100567;6;26.02.2021;AW00029811;poland;BK-M82B-38;3;2024,994
100567;7;26.02.2021;AW00029811;poland;BK-M82B-48;4;2024,994
100567;8;26.02.2021;AW00029811;poland;BK-M82S-38;7;2039,994
100567;9;26.02.2021;AW00029811;poland;CA-1098;1;5,1865
100567;10;26.02.2021;AW00029811;poland;BK-M82S-42;4;2039,994
100567;11;26.02.2021;AW00029811;poland;SO-B909-M;6;5,7
100567;12;26.02.2021;AW00029811;poland;BK-M82S-48;3;2039,994
100568;1;26.02.2021;AW00029824;poland;FR-R38B-58;1;178,5808
100568;2;26.02.2021;AW00029824;poland;BK-R93R-48;2;2146,962
100568;3;26.02.2021;AW00029824;poland;HL-U509;2;20,1865
100568;4;26.02.2021;AW00029824;poland;BK-R68R-44;1;874,794
100568;5;26.02.2021;AW00029824;poland;BK-R50R-52;1;419,4589
100568;6;26.02.2021;AW00029824;poland;HL-U509-B;2;20,1865
100568;7;26.02.2021;AW00029824;poland;BK-R50B-52;1;419,4589
100568;8;26.02.2021;AW00029824;poland;CA-1098;5;5,1865
100568;9;26.02.2021;AW00029824;poland;BK-R68R-60;3;874,794
100568;10;26.02.2021;AW00029824;poland;FR-R38R-62;1;183,9382
100568;11;26.02.2021;AW00029824;poland;BK-R50B-44;3;419,4589
100568;12;26.02.2021;AW00029824;poland;BK-R50R-58;1;419,4589
100568;13;26.02.2021;AW00029824;poland;BK-R50B-60;4;419,4589
100568;14;26.02.2021;AW00029824;poland;LJ-0192-L;1;28,8404
100568;15;26.02.2021;AW00029824;poland;BK-R50R-62;3;419,4589
100568;16;26.02.2021;AW00029824;poland;BK-R93R-56;3;2146,962
100568;17;26.02.2021;AW00029824;poland;HL-U509-R;1;20,1865
100568;18;26.02.2021;AW00029824;poland;BK-R50R-44;2;419,4589
100568;19;26.02.2021;AW00029824;poland;FR-R38B-52;1;178,5808
100568;20;26.02.2021;AW00029824;poland;BK-R93R-52;2;2146,962
100568;21;26.02.2021;AW00029824;poland;BK-R50B-48;1;419,4589
100568;22;26.02.2021;AW00029824;poland;BK-R68R-52;3;874,794
100568;23;26.02.2021;AW00029824;poland;LJ-0192-X;4;28,8404
100568;24;26.02.2021;AW00029824;poland;BK-R50R-48;1;419,4589
100568;25;26.02.2021;AW00029824;poland;LJ-0192-M;1;28,8404
100568;26;26.02.2021;AW00029824;poland;FR-R38R-48;1;183,9382
100569;1;26.02.2021;AW00029889;poland;BK-R50B-52;3;419,4589
100569;2;26.02.2021;AW00029889;poland;HL-U509-B;2;20,1865
100569;3;26.02.2021;AW00029889;poland;FR-R38R-48;1;183,9382
100569;4;26.02.2021;AW00029889;poland;BK-R50R-44;1;419,4589
100569;5;26.02.2021;AW00029889;poland;BK-R50B-60;2;419,4589
100569;6;26.02.2021;AW00029889;poland;BK-R93R-62;1;2146,962
100569;7;26.02.2021;AW00029889;poland;BK-R50B-62;1;419,4589
100569;8;26.02.2021;AW00029889;poland;BK-R50R-48;1;419,4589
100569;9;26.02.2021;AW00029889;poland;FR-R38B-52;1;178,5808
100569;10;26.02.2021;AW00029889;poland;BK-R68R-44;3;874,794
100569;11;26.02.2021;AW00029889;poland;BK-R68R-60;2;874,794
100569;12;26.02.2021;AW00029889;poland;BK-R50B-44;1;419,4589
100569;13;26.02.2021;AW00029889;poland;HL-U509;1;20,1865
100569;14;26.02.2021;AW00029889;poland;HL-U509-R;3;20,1865
100569;15;26.02.2021;AW00029889;poland;LJ-0192-L;1;28,8404
100569;16;26.02.2021;AW00029889;poland;BK-R93R-48;3;2146,962
100569;17;26.02.2021;AW00029889;poland;FR-R38R-44;1;183,9382
100569;18;26.02.2021;AW00029889;poland;LJ-0192-M;3;28,8404
100569;19;26.02.2021;AW00029889;poland;LJ-0192-X;5;28,8404
100569;20;26.02.2021;AW00029889;poland;BK-R50R-58;3;419,4589
100569;21;26.02.2021;AW00029889;poland;BK-R50R-60;1;419,4589
100569;22;26.02.2021;AW00029889;poland;FR-R38R-60;2;183,9382
100569;23;26.02.2021;AW00029889;poland;FR-R72R-48;2;356,898
100569;24;26.02.2021;AW00029889;poland;BK-R93R-44;2;2146,962
100569;25;26.02.2021;AW00029889;poland;BK-R93R-56;1;2146,962
100569;26;26.02.2021;AW00029889;poland;BK-R68R-52;3;874,794
100569;27;26.02.2021;AW00029889;poland;CA-1098;1;5,1865
100570;1;26.02.2021;AW00029489;poland;BK-R50R-44;1;419,4589
100570;2;26.02.2021;AW00029489;poland;BK-R93R-44;3;2146,962
100570;3;26.02.2021;AW00029489;poland;FR-R38B-58;1;178,5808
100570;4;26.02.2021;AW00029489;poland;LJ-0192-L;5;28,8404
100570;5;26.02.2021;AW00029489;poland;BK-R50B-60;1;419,4589
100570;6;26.02.2021;AW00029489;poland;BK-R50B-52;1;419,4589
100570;7;26.02.2021;AW00029489;poland;HL-U509-B;3;20,1865
100570;8;26.02.2021;AW00029489;poland;BK-R50B-62;1;419,4589
100570;9;26.02.2021;AW00029489;poland;BK-R93R-56;1;2146,962
100570;10;26.02.2021;AW00029489;poland;BK-R50R-62;3;419,4589
100570;11;26.02.2021;AW00029489;poland;BK-R68R-60;2;874,794
100570;12;26.02.2021;AW00029489;poland;BK-R68R-58;2;874,794
100570;13;26.02.2021;AW00029489;poland;CA-1098;2;5,1865
100570;14;26.02.2021;AW00029489;poland;BK-R93R-62;1;2146,962
100570;15;26.02.2021;AW00029489;poland;HL-U509-R;1;20,1865
100570;16;26.02.2021;AW00029489;poland;FR-R38R-62;1;183,9382
100570;17;26.02.2021;AW00029489;poland;HL-U509;4;20,1865
100570;18;26.02.2021;AW00029489;poland;LJ-0192-M;1;28,8404
100570;19;26.02.2021;AW00029489;poland;BK-R50R-58;1;419,4589
100570;20;26.02.2021;AW00029489;poland;BK-R50R-52;3;419,4589
100570;21;26.02.2021;AW00029489;poland;BK-R50B-58;2;419,4589
100570;22;26.02.2021;AW00029489;poland;BK-R68R-48;3;874,794
100570;23;26.02.2021;AW00029489;poland;BK-R93R-52;1;2146,962
100570;24;26.02.2021;AW00029489;poland;BK-R50B-48;4;419,4589
100570;25;26.02.2021;AW00029489;poland;FR-R38R-60;2;183,9382
100570;26;26.02.2021;AW00029489;poland;FR-R38R-44;2;183,9382
100571;1;26.02.2021;AW00029761;poland;CA-1098;1;5,1865
100571;2;26.02.2021;AW00029761;poland;BK-R68R-58;4;874,794
100571;3;26.02.2021;AW00029761;poland;BK-R50R-44;3;419,4589
100571;4;26.02.2021;AW00029761;poland;BK-R50B-58;1;419,4589
100571;5;26.02.2021;AW00029761;poland;BK-R50R-48;3;419,4589
100571;6;26.02.2021;AW00029761;poland;BK-R68R-52;2;874,794
100571;7;26.02.2021;AW00029761;poland;BK-R50R-62;2;419,4589
100571;8;26.02.2021;AW00029761;poland;BK-R50R-60;2;419,4589
100572;1;26.02.2021;AW00029958;poland;FR-M94B-42;1;714,7043
100572;2;26.02.2021;AW00029958;poland;BK-M82S-42;6;2039,994
100572;3;26.02.2021;AW00029958;poland;FR-M94S-52;1;818,7
100572;4;26.02.2021;AW00029958;poland;BK-M82B-44;2;2024,994
100572;5;26.02.2021;AW00029958;poland;SO-B909-M;8;5,7
100572;6;26.02.2021;AW00029958;poland;BK-M82S-48;4;2039,994
100572;7;26.02.2021;AW00029958;poland;FR-M94B-48;2;809,76
100572;8;26.02.2021;AW00029958;poland;BK-M82B-42;5;2024,994
100572;9;26.02.2021;AW00029958;poland;BK-M82S-44;2;2039,994
100572;10;26.02.2021;AW00029958;poland;BK-M82B-48;2;2024,994
100572;11;26.02.2021;AW00029958;poland;BK-M82B-38;3;2024,994
100572;12;26.02.2021;AW00029958;poland;FR-M94S-38;1;722,5949
100572;13;26.02.2021;AW00029958;poland;FR-M94S-46;1;722,5949
100573;1;26.02.2021;AW00029661;poland;FR-R38B-58;1;178,5808
100573;2;26.02.2021;AW00029661;poland;HL-U509-B;4;20,1865
100573;3;26.02.2021;AW00029661;poland;FR-R38R-60;3;183,9382
100573;4;26.02.2021;AW00029661;poland;HL-U509-R;2;20,1865
100573;5;26.02.2021;AW00029661;poland;BK-R93R-56;4;2146,962
100573;6;26.02.2021;AW00029661;poland;BK-R68R-58;4;874,794
100573;7;26.02.2021;AW00029661;poland;BK-R50R-44;5;419,4589
100573;8;26.02.2021;AW00029661;poland;LJ-0192-M;3;28,8404
100573;9;26.02.2021;AW00029661;poland;HL-U509;4;20,1865
100573;10;26.02.2021;AW00029661;poland;BK-R50B-60;2;419,4589
100573;11;26.02.2021;AW00029661;poland;FR-R38R-62;2;183,9382
100573;12;26.02.2021;AW00029661;poland;BK-R50R-52;1;419,4589
100573;13;26.02.2021;AW00029661;poland;FR-R38B-52;1;178,5808
100573;14;26.02.2021;AW00029661;poland;BK-R50R-60;9;419,4589
100573;15;26.02.2021;AW00029661;poland;LJ-0192-X;4;28,8404
100573;16;26.02.2021;AW00029661;poland;BK-R68R-60;2;874,794
100574;1;26.02.2021;AW00029759;poland;BK-R68R-58;3;874,794
100574;2;26.02.2021;AW00029759;poland;BK-R50R-60;1;419,4589
100574;3;26.02.2021;AW00029759;poland;LJ-0192-L;4;28,8404
100574;4;26.02.2021;AW00029759;poland;BK-R50B-58;2;419,4589
100574;5;26.02.2021;AW00029759;poland;CA-1098;4;5,1865
100574;6;26.02.2021;AW00029759;poland;BK-R50R-62;3;419,4589
100574;7;26.02.2021;AW00029759;poland;BK-R50B-52;3;419,4589
100574;8;26.02.2021;AW00029759;poland;BK-R50R-48;5;419,4589
100574;9;26.02.2021;AW00029759;poland;BK-R50R-44;3;419,4589
100575;1;26.02.2021;AW00029497;poland;BK-M82B-48;2;2024,994
100575;2;26.02.2021;AW00029497;poland;HL-U509-R;2;20,1865
100575;3;26.02.2021;AW00029497;poland;BK-M82S-48;2;2039,994
100575;4;26.02.2021;AW00029497;poland;LJ-0192-M;1;28,8404
100575;5;26.02.2021;AW00029497;poland;BK-M82B-44;3;2024,994
100575;6;26.02.2021;AW00029497;poland;BK-M82S-38;2;2039,994
100575;7;26.02.2021;AW00029497;poland;LJ-0192-L;3;28,8404
100575;8;26.02.2021;AW00029497;poland;HL-U509-B;2;20,1865
100575;9;26.02.2021;AW00029497;poland;BK-M82B-38;5;2024,994
100575;10;26.02.2021;AW00029497;poland;BK-M82B-42;4;2024,994
100575;11;26.02.2021;AW00029497;poland;BK-M82S-44;2;2039,994
100575;12;26.02.2021;AW00029497;poland;LJ-0192-X;1;28,8404
100576;1;26.02.2021;AW00029912;poland;FR-R38B-52;2;178,5808
100576;2;26.02.2021;AW00029912;poland;BK-R93R-44;1;2146,962
100576;3;26.02.2021;AW00029912;poland;BK-R93R-52;1;2146,962
100576;4;26.02.2021;AW00029912;poland;BK-R50B-52;2;419,4589
100576;5;26.02.2021;AW00029912;poland;BK-R50R-62;3;419,4589
100576;6;26.02.2021;AW00029912;poland;BK-R68R-58;1;874,794
100576;7;26.02.2021;AW00029912;poland;BK-R68R-60;1;874,794
100576;8;26.02.2021;AW00029912;poland;FR-R38R-60;2;183,9382
100576;9;26.02.2021;AW00029912;poland;FR-R38R-44;2;183,9382
100576;10;26.02.2021;AW00029912;poland;BK-R68R-48;1;874,794
100576;11;26.02.2021;AW00029912;poland;BK-R50B-58;2;419,4589
100576;12;26.02.2021;AW00029912;poland;BK-R50R-52;1;419,4589
100576;13;26.02.2021;AW00029912;poland;BK-R50R-48;1;419,4589
100576;14;26.02.2021;AW00029912;poland;BK-R50R-60;1;419,4589
100576;15;26.02.2021;AW00029912;poland;BK-R50B-60;3;419,4589
100576;16;26.02.2021;AW00029912;poland;BK-R50R-44;1;419,4589
100576;17;26.02.2021;AW00029912;poland;BK-R50B-44;3;419,4589
100576;18;26.02.2021;AW00029912;poland;BK-R68R-52;1;874,794
